Fruit,m,c,MSE,R2,2026,2027,2028,2029,2030
Apples,66.78186425339368,-127110.45887782807,742975.9417772858,0.21845292704255792,8189.598099547511,8256.379963800908,8323.161828054304,8389.943692307701,8456.725556561098
Bananas,489.03667873303164,-949881.5027873302,3327897.7832118827,-0.7580577788076548,40906.80832579185,41395.84500452492,41884.88168325799,42373.918361990945,42862.95504072402
Cherries,7.263945701357467,-11883.768711915536,49667.84776688961,-32.047532087225164,2832.985279034692,2840.2492247360497,2847.513170437407,2854.7771161387645,2862.041061840122
Grapes,140.03161990950227,-258910.9069441931,6163171.832391407,-11.24625095457727,24793.154992458498,24933.18661236801,25073.21823227752,25213.24985218703,25353.28147209654
"Mangoes, guavas and mangosteens",-32.29195475113123,72375.0476259427,4857684.233084469,-5.108760138453041,6951.547300150822,6919.255345399695,6886.9633906485615,6854.671435897428,6822.379481146301
