Fruit,m,c,MSE,R2,2026,2027,2028,2029,2030
"Mangoes, guavas and mangosteens",176.31617194570137,-340698.1606214178,11373429.198750257,-10.332373717345583,16518.40374057315,16694.719912518864,16871.036084464577,17047.35225641029,17223.668428356003
Apples,441.43975565610873,-854261.4939487182,9126309.897305943,-0.7042848954357894,40095.451010558056,40536.89076621423,40978.33052187029,41419.77027752646,41861.21003318252
Grapes,178.20594570135748,-342380.59051583713,952193.0275986276,0.2233072136002825,18664.655475113133,18842.86142081447,19021.06736651581,19199.273312217207,19377.479257918545
Bananas,777.3402081447964,-1525012.7180814482,212736747.93523502,-20.20947213380158,49878.543619909324,50655.88382805418,51433.22403619881,52210.564244343666,52987.904452488525
Cherries,-5.985846153846157,15335.961049773761,2214756.42401499,-33.19955920551622,3208.6367420814477,3202.6508959276016,3196.6650497737555,3190.6792036199095,3184.6933574660634
