Fruit,m,c,MSE,R2,2026,2027,2028,2029,2030
Apples,59.069212669683296,-102030.18969532436,1580822.8224091518,-678.4834122068947,17644.035173454,17703.104386123683,17762.173598793364,17821.242811463046,17880.31202413274
Grapes,8.202552036199098,-3606.844814479644,1389914.734355267,-2.632091775375048,13011.52561085973,13019.728162895926,13027.930714932127,13036.133266968327,13044.335819004524
"Mangoes, guavas and mangosteens",52.5720452488688,-100950.72892307695,1205022.5128180822,-14.219541266885757,5560.2347511312255,5612.8067963801,5665.378841628961,5717.950886877836,5770.522932126711
Cherries,-13.783547511312216,32218.470455505278,5564718.143816574,-29.93602795408028,4293.003197586728,4279.219650075414,4265.436102564105,4251.652555052791,4237.869007541478
Bananas,262.12638914027156,-502033.3127541479,9485880.25790022,0.30391422744741803,29034.751644042204,29296.878033182467,29559.004422322847,29821.13081146311,30083.257200603373
