Fruit,m,c,MSE,R2,2026,2027,2028,2029,2030
Apples,240.1668778280543,-471120.7546606335,55918059.158937216,-6.088488541058912,15457.339819004526,15697.5066968326,15937.673574660614,16177.840452488686,16418.00733031676
Bananas,207.9387601809955,-395070.94634690805,70836568.08932275,-5.495145422541424,26212.981779788854,26420.92053996981,26628.859300150827,26836.798060331843,27044.7368205128
Grapes,216.92875113122176,-422014.72131523385,12764941.058304138,-1.4843825155361992,17482.928476621455,17699.857227752625,17916.785978883854,18133.714730015083,18350.64348114631
"Mangoes, guavas and mangosteens",91.52137556561087,-175145.37540271494,140881.79465617661,0.6442050844440643,10276.931493212673,10368.452868778288,10459.974244343903,10551.495619909518,10643.016995475133
Cherries,-0.1995059288537518,4591.417094861655,75.1784867606694,-15.158729018950435,4187.218083003953,4187.0185770750995,4186.819071146246,4186.619565217392,4186.420059288539
