Area,Item,Year,Area_Harvested,Yield
China,Grapes,1964,13428.0,7712.2
China,Grapes,1965,15386.0,6719.9
China,Grapes,1966,17454.0,5831.6
China,Grapes,1967,17487.0,5424.5
China,Grapes,1968,17563.0,6081.0
China,Grapes,1969,18703.0,5447.2
China,Grapes,1970,18869.0,5096.0
China,Grapes,1971,19217.0,6464.4
China,Grapes,1972,19590.0,6316.7
China,Grapes,1973,20791.0,6400.2
China,Grapes,1974,20571.0,5957.1
China,Grapes,1975,20301.0,6870.4
China,Grapes,1976,21265.0,6247.9
China,Grapes,1977,21161.0,4948.9
China,Grapes,1978,26543.0,4578.6
China,Grapes,1979,32918.0,5138.5
China,Grapes,1980,34667.0,4613.4
China,Grapes,1981,40448.0,5360.4
China,Grapes,1982,50330.0,4783.2
China,Grapes,1983,62299.0,5319.8
China,Grapes,1984,68590.0,5318.5
China,Grapes,1985,91837.0,4867.3
China,Grapes,1986,120023.0,4257.5
China,Grapes,1987,148113.0,4774.1
China,Grapes,1988,151174.0,5823.7
China,Grapes,1989,143273.0,6830.5
China,Grapes,1990,127278.0,7552.1
China,Grapes,1991,118606.0,8680.1
China,Grapes,1992,144038.0,8709.7
China,Grapes,1993,139023.0,10933.7
China,Grapes,1994,154049.0,10916.0
China,Grapes,1995,157738.0,12018.4
China,Grapes,1996,158627.0,12737.8
China,Grapes,1997,160796.0,13146.0
China,Grapes,1998,180862.0,13444.7
China,Grapes,1999,226242.0,12441.1
China,Grapes,2000,286058.0,11792.1
China,Grapes,2001,337393.0,11159.1
China,Grapes,2002,395360.0,11545.1
China,Grapes,2003,423907.0,12427.3
China,Grapes,2004,416633.0,13856.8
China,Grapes,2005,411152.0,14266.0
China,Grapes,2006,422033.0,15100.9
China,Grapes,2007,418446.0,15605.1
China,Grapes,2008,436302.0,16197.6
China,Grapes,2009,468716.0,16527.9
China,Grapes,2010,516307.0,15955.9
China,Grapes,2011,553334.0,15694.3
China,Grapes,2012,615791.0,16410.1
China,Grapes,2013,649482.0,16908.6
