Fruit,m,c,MSE,R2,2026,2027,2028,2029,2030
Grapes,56.44926696832579,-96042.5422383107,5721729.0956833,-1.5638651434674404,18323.672639517332,18380.12190648567,18436.571173453995,18493.02044042232,18549.469707390643
Cherries,67.24657013574661,-126354.7490739065,1898207.9812796877,-0.34637554566540274,9886.80202111612,9954.048591251878,10021.295161387636,10088.541731523364,10155.788301659122
Apples,336.71461538461534,-646067.3438009048,33257690.107462242,-2.3905626408238656,36116.4669683259,36453.18158371048,36789.89619909506,37126.61081447976,37463.325429864344
Bananas,270.0744705882353,-522843.422117647,108463484.6377906,-7.553976629412558,24327.45529411768,24597.52976470592,24867.60423529416,25137.678705882397,25407.753176470636
"Mangoes, guavas and mangosteens",16.46813248766736,-23016.708576462283,86187113.16702968,-826.9325598624409,10347.727843551795,10364.19597603946,10380.664108527126,10397.132241014791,10413.600373502464
